candidato,porcentaje,votos_validos,votos_blancos,votos_nulos,posicion,diferencia_lider,proporcion_votos,categoria,candidato_encoded,categoria_encoded
DANIEL NOBOA AZIN,44.17,97.15,0.6,2.15,1,0.0,0.47336834208552137,Alto,2,0
LUISA GONZALEZ,43.97,97.15,0.6,2.15,2,0.20000000000000284,0.4712249490944164,Alto,8,0
ANDREA GONZALEZ,2.69,97.15,0.6,2.15,3,41.480000000000004,0.02882863573036116,Bajo,0,1
HENRY KRONFLE KOZHAYA,0.72,97.15,0.6,2.15,4,43.45,0.007716214767977708,Muy bajo,3,2
JIMMY JAIRALA VALLAZZA,0.4,97.15,0.6,2.15,5,43.77,0.004286785982209838,Muy bajo,4,2
JORGE ESCALA,0.4,97.15,0.6,2.15,6,43.77,0.004286785982209838,Muy bajo,5,2
LUIS FELIPE TILLERIA,0.32,97.15,0.6,2.15,7,43.85,0.0034294287857678705,Muy bajo,7,2
VICTOR ARAUS,0.25,97.15,0.6,2.15,8,43.92,0.002679241238881149,Muy bajo,9,2
CARLOS RABASCALL,0.22,97.15,0.6,2.15,9,43.95,0.002357732290215411,Muy bajo,1,2
JUAN IVAN CUEVA,0.17,97.15,0.6,2.15,10,44.0,0.0018218840424391813,Muy bajo,6,2
